Approved Symbol,HGNC symbol,Approved Name,Actually approved name,Num Distinct Exons,In breast panel v2,Add to breast panel v3
ABL1,ABL1,"c-abl oncogene 1, non-receptor tyrosine kinase",,12,FALSE,
ACVR1,ACVR1,"activin A receptor, type I",,9,FALSE,
AKT1,AKT1,v-akt murine thymoma viral oncogene homolog 1,,13,TRUE,
AKT2,AKT2,v-akt murine thymoma viral oncogene homolog 2,,13,TRUE,
AKT3,AKT3,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)",,14,TRUE,
ALK,ALK,anaplastic lymphoma receptor tyrosine kinase,,29,FALSE,
ALOX12B,ALOX12B,"arachidonate 12-lipoxygenase, 12R type",,15,FALSE,
ANKRD11,ANKRD11,ankyrin repeat domain 11,,12,FALSE,
APC,APC,adenomatous polyposis coli,,16,TRUE,
AR,AR,androgen receptor,,11,FALSE,
ARAF,ARAF,v-raf murine sarcoma 3611 viral oncogene homolog,,15,TRUE,
ARID1A,ARID1A,AT rich interactive domain 1A (SWI-like),,20,TRUE,
ARID1B,ARID1B,AT rich interactive domain 1B (SWI1-like),,21,FALSE,?
ARID2,ARID2,"AT rich interactive domain 2 (ARID, RFX-like)",,22,FALSE,?
ARID5B,ARID5B,AT rich interactive domain 5B (MRF1-like),,11,FALSE,?
ASXL1,ASXL1,additional sex combs like 1 (Drosophila),,14,FALSE,
ASXL2,ASXL2,additional sex combs like 2 (Drosophila),,12,FALSE,
ATM,ATM,ataxia telangiectasia mutated,,62,TRUE,
ATR,ATR,ataxia telangiectasia and Rad3 related,,47,TRUE,
ATRX,ATRX,alpha thalassemia/mental retardation syndrome X-linked,,35,TRUE,
AURKA,AURKA,aurora kinase A,,8,TRUE,
AURKB,AURKB,aurora kinase B,,8,TRUE,
AXIN1,AXIN1,axin 1,,10,FALSE,
AXIN2,AXIN2,axin 2,,10,FALSE,
AXL,AXL,AXL receptor tyrosine kinase,,20,FALSE,
B2M,B2M,beta-2-microglobulin,,3,FALSE,
BAP1,BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase),,17,FALSE,?
BARD1,BARD1,BRCA1 associated RING domain 1,,11,FALSE,?
BBC3,BBC3,BCL2 binding component 3,,4,FALSE,
BCL10,BCL10,B-cell CLL/lymphoma 10,,3,FALSE,
BCL2,BCL2,B-cell CLL/lymphoma 2,,2,FALSE,
BCL2L1,BCL2L1,BCL2-like 1,,2,FALSE,
BCL2L11,BCL2L11,BCL2-like 11 (apoptosis facilitator),,10,FALSE,
BCL6,BCL6,B-cell CLL/lymphoma 6,,8,FALSE,
BCOR,BCOR,BCL6 corepressor,,14,FALSE,
BIRC3,BIRC3,baculoviral IAP repeat-containing 3,,8,FALSE,
BLM,BLM,"Bloom syndrome, RecQ helicase-like",,21,FALSE,
BMPR1A,BMPR1A,"bone morphogenetic protein receptor, type IA",,11,FALSE,
BRAF,BRAF,v-raf murine sarcoma viral oncogene homolog B1,,18,TRUE,
BRCA1,BRCA1,"breast cancer 1, early onset",,23,TRUE,
BRCA2,BRCA2,"breast cancer 2, early onset",,26,TRUE,
BRD4,BRD4,bromodomain containing 4,,21,FALSE,
BRIP1,BRIP1,BRCA1 interacting protein C-terminal helicase 1,,19,TRUE,
BTK,BTK,Bruton agammaglobulinemia tyrosine kinase,,19,FALSE,
CALR,CALR,calreticulin,,9,FALSE,
CARD11,CARD11,"caspase recruitment domain family, member 11",,24,FALSE,
CASP8,CASP8,"caspase 8, apoptosis-related cysteine peptidase",,11,FALSE,
CBFB,CBFB,"core-binding factor, beta subunit",,6,TRUE,
